legal_name,purpose
Werkstattservice Memmingen GmbH,"Handel mit sowie Montage, Reparatur, Wartung, Prüfung und Kalibrierung von Werkstatt-Technik."
AgroHolz Geschäftsführungs-GmbH,Der Erwerb einer gesellschaftsrechtlichen Beteiligung an der AgroHolz land- und forstwirtschaftliche Gesellschaft mbH (Amtsgericht Stendal HRB 20389) sowie die Übernahme der Geschäftsführung und Verwaltung von land- und forstwirtschaftlichen Kommanditgesellschaften.
Heinrich Sellmann Schilderfabrik u. Siebdruckerei GmbH.,"Herstellung und der Vertrieb von Schildern, Skalierungen und reprotechnischen Werken aller Art, das Bedrucken von Metall, Kunststoffen und Folien sowie der Verkauf und Gravurbearbeitung von Pokalen, Zinnartikeln und Ehrenpreisen"
Top Down View GmbH,Luftbilddokumentation im medialen sowie technischen Bereich.
Bausanierung Krohe GmbH,Erbringung von Bausanierungsleistungen und Bauplanungsleistungen
Zeltbetriebe Brügging GmbH,"Betrieb einer Zeltwirtschaft, die Vermietung von Zelten, der Restaurationsbetrieb, der Betrieb und die Unterhaltung von Getränkefachmärkten sowie die Beteiligung an solchen oder ähnlichen Unternehmen."
St. Oberholz Woldzegarten GmbH,der Betrieb des Hotelcampus Woldzegarten in Leizen
A& M Immobiliengesellschaft mbH,Der Erwerb und die Verwaltung eigenen Vermögens. Weiterer Gegenstand des Unternehmens ist die Vermittlung und Vermarktung von Grundstücken und Immobilien.
ITC Germany GmbH,Der Gegenstand des Unternehmens ist der Vertrieb von Metallrohren aus Messing oder anderen Werkstoffen verschiedener Metalllegierungen fertig zum Einbau (Halbund Fertigerzeugnisse).
VEPRO Aktiengesellschaft,"Die Organisationsberatung, Systemberatung, Individualprogrammierung, der Vertrieb von Branchen-Software, Bürocomputern und Datenverarbeitungszubehör sowie die Durchführung von Schulungen."
Kaiser Verwaltungs GmbH,"Der Im- und Export von Dämmstoffen, sowie die Veredelung und Verarbeitung von Dämmstoffen; die Vermietung von Fahrzeugen und Geräten sowie die EDV- gemäße Verarbeitung von Buchhaltungsunterlagen und Daten sowie alle damit zusammenhängenden und den Gesellschaftszweck fördernden Geschäfte. Die Gesellschaft darf andere Unternehmen gleicher oder ähnlicher Art übernehmen, sich an Ihnen beteiligen und deren Geschäfte führen. Sie ist zur Errichtung von Zweigniederlassungen befugt."
Crazy Wuzzz Marketing GmbH,"Die Vermarktung und der Vertrieb von Produkten mit dem Markenzeichen ""Die Wuzzz"" Die Gesellschaft ist befugt, sämtliche im Geschäftszweig des Unternehmens übliche und ihnen verwandte Tätigkeiten und Geschäfte auszuüben, gleichartige oder ähnliche Unternehmen zu erwerben, zu pachten, sich an solchen Unternehmen in jeder geeigneten Form zu beteiligen oder deren Vertretung im In- und Ausland zu übernehmen sowie an anderen Orten im In- und Ausland Zweigniederlassungen zu errichten und zu unterhalten."
Reflex Winkelmann Beteiligungs-GmbH,"Gegenstand des Unternehmens ist die Beteiligung an anderen Unternehmen im Inund Ausland, u.a. die Beteiligung an der Gesellschaft mit beschränkter Haftung unter der Firma Reflex Winkelmann GmbH mit dem Sitz in Ahlen/Westfalen."
drhws NEUE ENERGIEN GmbH,Betrieb von Anlagen zur Erzeugung von Energie sowie Handel mit Strom
UVA 1 Med. Bestrahlungsgeräte-Handelsgesellschaft mbH,Vertrieb von medizinischen und kosmetischen Bestrahlungsgeräten.
Champions Play UG (haftungsbeschränkt),Aufstellung und der Betrieb von Spiel- und Unterhaltungsautomaten sowie die Durchführung aller hiermit im Zusammenhang stehender Tätigkeiten.
Blau Himmel GmbH,"Gegenstand ist der Im- und Export sowie der Transport von gebrauchten Lastkraftwagen, Bussen und Personenkraftwagen sowie von Ersatzteilen."
ABLOXX Würzburg GmbH,"Ist die Erbringung von Logistik- Dienstleistungen aller Art, soweit hierzu keine öffentlich-rechtlichen Erlaubnisse erforderlich sind, insbesondere Einlagerung, Qualitätskontrolle, Montage, Labeling, Preisauszeichnung, Kommissionierung, Verpackung, Versendung, Frachtvermittlung, Vermietung und Verpachtung von Speditionsanlagen sowie die Beteiligung an Unternehmungen aller Art."
Versteegen Assekuranz-Versicherungsmakler Zeuthen AG,"Die Vermakelung und Verwaltung von Versicherungsverträgen jeder Art im In- und Ausland. Die Schadensabwicklung im Verhältnis zum Kunden und gegenüber Versicherungsgesellschaften ist vom Gegenstand des Unternehmens umfasst. Weiterer Gegenstand des Unternehmens ist die Vermittlung von Kapitalanlagen, Finanzierungen und Immobilien, sofern hierfür die erforderlichen Genehmigungen vorliegen."
jbc logistics management GmbH,"Logistik und Management-Steuerung von Handels- und Industrieunternehmen einschließlich Beratung und Optimierung sowie alle damit im Zusammenhang stehenden Tätigkeiten. Ausgenommen sind erlaubnispflichtige Tätigkeiten jeder Art, soweit nicht die Erlaubnis vorliegt."
California Spielothek Chemnitz Rosenhof GmbH,"Aufstellung und Betrieb von Geräten mit und ohne Gewinnmöglichkeit, Waren- und Getränkeautomaten, das Betreiben von Spielhallen sowie ferner der Betrieb von Internetcafés."
Malereibetrieb Genthin GmbH,"Wohnraumrenovierung, Fassadenbeschichtung und -reinigung, Fußbodenverlegearbeiten sowie Außenwärmedämmung."
Muckhoff Immobilienverwaltung GmbH,Halten und Verwalten von Immobilien sowie alle damit im Zusammenhang stehenden Tätigkeiten.
Agetra UG (haftungsbeschränkt),"Das Halten von Beteiligungen an Unternehmen jeglicher Rechtsform, der Erwerb von Beteiligungen an Erbengemeinschaften, die Verwaltung eigenen Vermögens, die Übernahme von Beratungsmandaten."
Sinneswandel - Förderung gehörloser und hörgeschädigter Menschen in Berlin gGmbH,"Die Förderung der freien Wohlfahrtspflege, der Bildung und Erziehung sowie der Jugendhilfe. Die Gesellschaft erfüllt ihren Zweck insbesondere durch die Bereitstellung von ambulanten und stationären Dienstleistungsangeboten für gehörlose und hörgeschädigte Menschen (betreutes Einzelwohnen, betreute Wohngemeinschaft etc.), die Bereitstellung von Angeboten in den Bereichen Bildung, Erziehung, Beratung, kulturelle Teilhabe und Freizeit für die oben genannte Zielgruppe und andere Menschen mit Behinderungen. Die Bereitstellung von Angeboten, die das Zusammenleben von Menschen mit und ohne Behinderungen fördern. Die Förderung von inklusiver Bildung und Erziehung sowie der inklusiven Kinder- und Jugendhilfe durch die Tagesbetreuung von Kindern, frühkindliche Erziehung, Jugendfreitzeitangebote und Familienbildung."
Windkraft Lamerdingen Planungs-GmbH,"Die Planung, Errichtung und der Betrieb von Windkraftanlagen und die Beteiligung an anderen Gesellschaften, insbesondere zur Übernahme der persönlichen Haftung."
K & M Verwaltungs GmbH,"Übernahme der persönlichen Haftung und Geschäftsführung in der Firma K & M Energie- und Elektrotechnik GmbH & Co. KG, die die Erbringung von Dienstleistungen im Elektrik- und Elektronikbereich sowie das Handeln mit Elektroprodukten und die Erbringung von Dienstleistungen im Zusammenhang mit Elektroarbeiten zum Gesellschaftszweck hat"
Air Service Lippewiesen GmbH,"Die Wartung, die Instandhaltung und die Reparatur sowie der Handel mit Luftfahrtgeräten."
JMH Vermögensverwaltungs GmbH,"der Erwerb sowie die Veräußerung von börsennotierten Wertpapieren und Derivaten im eigenen Namen und für eigene Rechnung ( § 1 Abs. 3 Nr. 1 und 5 KWG ) mit dem Ziel der kurzfristigen Erzielung eines Eigenhandelserfolgs. Die Gesellschaft ist berechtigt, alle Geschäfte vorzunehmen, die geeignet sind, den Gesellschaftszweck unmittelbar oder mittelbar zu fördern. Die Gesellschaft kann zur Erreichung ihres Unternehmenszwecks Darlehen aufnehmen oder vergeben. Ausgenommen von der Geschäftstätigkeit sind Finanzdienstleistungen, zu deren Vornahme eine besondere Erlaubnis nach § 32 KWG erforderlich ist, sowie Tätigkeiten i.S. d. § 34 c GewO."
Zieger Galabau GmbH,Durchführung von Arbeiten im Garten- und Landschaftsbau sowie der Hochbau
GFV - Verwaltungs GmbH,"Die Übernahme der Geschäftsführung als persönlich haftende Gesellschafterin der Gütersloher Fleischwaren Beteiligungs GmbH & Co. KG sowie der Gütersloher Fleischwaren Vertriebs GmbH & Co. KG mit den jeweiligen Sitzen in Gütersloh, die Vornahme aller damit im Zusammenhang stehenden Geschäfte sowie die Förderung des Unternehmenszwecks der vorgenannten Kommanditgesellschaften innerhalb deren Unernehmensgegenständen, nämlich des Handels mit Fleischwaren oder der Beteiligung an solchen Gesellschaften."
concrete robotics GmbH,"Verkauf, Vertrieb und Herstellung von mineralischen Feinstäuben für die Produktion von Beton, Teil- oder kompletten Premixes für die Herstellung von hydraulisch gebundenen Betonen. Darüber hinaus vertreibt die Gesellschaft ggf. über eine auszugründende Gesellschaft spezielle Mischer und Mischanlagen für die Produktion von Sonderbetonen sowie Fertigungsanlagen zur Verarbeitung von Sonderbetonen. Vergabe von Lizenzen für den gleichen Unternehmenszweck an externe Firmen sowie die Ausgründung und die Beteiligung an Firmen zur Durchführung des Unternehmenszweck oder die Beteiligung an Firmen die dem Unternehmenszweck dienen, sowie der Abschluss aller damit im Zusammenhang stehenden Geschäfte."
Gerd Willi Busch Sanitär und Heizung GmbH,der Betrieb der Bauklempnerei sowie Heizungs- und Sanitärinstallationen.
Malermeister Bernd Seidler GmbH,"Ausführung von Maler- und Lackiererarbeiten, Stukkateurarbeiten und der Einbau genormter Baufertigteile"
r-alpha LABS GmbH,"die Entwicklung von digitalen Geschäftsmodellen insbesondere in den Bereichen eLearning und Software as a Service, Erbringung von Beratungs- und Schulungsdienstleistungen sowie die Zurverfügungstellung von Management- Kapazitäten."
PFI Consulting GmbH,"Erwerb, Beteiligung, Verwaltung von Unternehmen aller Art, Personalberatung und Vermittlung, Qualifizierung und Aus- Fortbildung, Costumer Service."
T & H GmbH,"1. der Wareneinzelhandel sowie Import und Export von Waren aller Art 2. das Betreiben von Juweliergeschäften einschließlich der Handel mit Edelmetallen, Edelsteinen, Brillianten und Diamanten sowie die Produktion, der Im- und Export und Großhandel und die Erbringung aller Dienstleistungen auf diesem Gebiet"
BSC Embedded Intelligence GmbH,"Die Entwicklung und Vermarktung von Software und Hardware für Steuerungssysteme jeglicher Art, insbesondere für die kabellose Gebäudeautomatisierung."
Advertmedia GmbH,"ist der Betrieb einer Werbeagentur, insbesondere Erstellung / Handel von und mit Payment-Lösungen und deren Anwendung im Online-Bereich, sowie Programmierung und Erstellung von Design im Online- und Offline- Bereich. Die Gesellschaft kann alle Geschäfte betreiben, die dem Gesellschaftszweck unmittelbar oder mittelbar zu dienen geeignet sind. Die Gesellschaft ist berechtigt, Zweigniederlassungen zu errichten und sich an anderen Unterenehmen, auch als persönlich haftende Gesellschafterin, zu beteiligen."
Schwalmolith Naturstein GmbH,die Fertigung und Verlegung von Natursteinen
VELIND Aerosol GmbH Schwedt,"Herstellung, Abfüllung und der Vertrieb von chemischen und technischen Produkten und Kosmetika, insbesondere von Aerosol- und Flüssig-Produkten in geeigneten Verpackungen als Reinigungs- und Pflegemittel im Kraftfahrzeug-, im Haushaltsbereich und für sonstige Anwendungen, die Forschung und Entwicklung neuer Produkte und Rezepturen in allen Anwendungsbereichen sowie die Lohnverarbeitung für andere Unternehmen"
Pan-Trans GmbH,"Kurier-, Express- und Postdienstleistungen"
Brink Climate Systems Ahaus GmbH,Der Vertrieb und das Marketing von Lüftungseinrichtungen und Lüftungsgeräten sowie alle damit zusammenhängenden Geschäfte.
Xsabo (Germany) GmbH,"Strategieberatung für Unternehmen, Regierung und sonstige Organisationen, insbesondere in den Bereichen Commercial Diplomacy (Kommerzielle Diplomatie), Business Networking, International Market Research (Internationale Marktforschung), International Expansion (Markteintrittsstrategie), Training/Coaching of Clients` Professionals (Weiterbildung von Kunden-Mitarbeitern) und Interim- Management."
PhiKaJu UG (haftungsbeschränkt),Halten und Verwalten eigenen Vermögens.
Principle Pharma GmbH,"Herstellung, Vertrieb und Vermarktung von Gesundheitsprodukten im In- und Ausland, insbesondere Arzneimittel, Medizinprodukte und Nahrungsergänzungsmittel."
Bernhard Fackler GmbH,"Erwerb, Halten und Verwaltung von Beteiligungen sowie die Übernahme der persönlichen Haftung und der Geschäftsführung bei Personengesellschaften, insbesondere die Beteiligung als persönlich haftende geschäftsführende Gesellschafterin an der Fensterbau Fackler GmbH & Co. KG, Memmingen, deren Gegenstand die Herstellung von und der Handel mit Fenstern, Türen und Wintergärten ist."
PROPAGROUP GmbH,"Produktion, Vermarktung, Vertrieb und Handelsvertretung von Verpackungsprodukten und -systemen, Produkten und Systemen für Umweltschutz und Schutz von Waren bei Versand und Lagerung."
PTL Dr. Grabenhorst GmbH,"Die Herstellung, die Instandhaltung, der Vertrieb und die Vermittlung von technischen Anlagen aller Art, insbesondere von Prüfgeräten und Prüfanlagen."
Dalarslan Akin GmbH,Halten von Beteiligungen und die Verwaltung eigenen Vermögens.
B I K Bauträger Immobilien Kooperations Gesellschaft mbH,Erwerb von Immobilien aller Art sowie Weiterveräußerung der Bestandsimmobilien einschließlich Bauträgertätigkeiten gemäß § 34 c der Gewerbeordnung.
Ingenieurbüro Schneider Ltd.,"Bauberatung, Bauüberwachung, Bauleitung, Bauplanung"
FRIMO Sontra GmbH,"Die Herstellung von Modellen, Werkzeugen und Produktionseinrichtungen für die Verarbeitung von Kunststoffen und anderen Materialien sowie die Herstellung anderer hiermit zusammenhängender Produkte und der Handel sowie die Einbringung von Dienstleistungen in diesem Bereich."
Orfeo Negro GmbH,"Vermögensverwaltung zur langfristigen Vermögensanlage, -bildung und -sicherung, einschließlich der langfristigen Beteiligung an anderen Unternehmen im In- und Ausland."
Teppich-Zentrum Freilassing GmbH,Groß- und Einzelhandel mit Orientteppichen und Möbeln.
Ge-Es Fuhrbetrieb und Baustoffhandel GmbH,"das Ausführen von Transporten aller Art im Güternahverkehr, sowie Groß- und Einzelhandel mit Baustoffen und Hilfsmaterialien"
ANGUS Group Deutschland GmbH,"Handel mit Rindern und Bullen, insbesondere im Angus Bereich, Aufzucht und Zucht solcher Tiere, Vermarktung und Vertrieb von Rindfleisch und Fleischwaren insgesamt, Projektrealisierung und Investitionen im Rinderbereich sowie artverwandte Geschäfte und Tätigkeiten."
Glokal GmbH,"Der Im- und Export von sowie der Handel mit Maschinenteilen für die Industriezweige Energieerzeugung und -verteilung, Schifffahrt, Schienenbahnen, Aufzüge, Glas- und Aluminiumverarbeitung. Die Gesellschaft ist berechtigt, auch mit vergleichbaren Waren Handel zu treiben. In diesen Bereichen wird die Gesellschaft auch als Dienstleister für ihre Kunden tätig."
Invencom Gesellschaft für EDV;und Logistikberatung mbH,"Betreiben einer elektronischen Datenverarbeitung und Logistikberatungsgesellschaft, Herstellung von Software, Handel mit Hardware sowie Beratung von Unternehmen im Bereich Logistik"
Konstantin-Ausstellungsgesellschaft mbH,"Die Gesellschaft hat zur Aufgabe, eine international bedeutsame Landesausstellung über das Leben und Wirken des spätrömischen Kaisers Konstantin für das Jahr 2007 zu konzipieren, zu gestalten und zu realisieren. Der Gesellschaft obliegt auch die Konzeption und Realisierung der Kommunikationslinien und aller Öffentlichkeitsaktionen sowie die Konzeption und die Durchführung eines vorbereitenden und begleitenden Rahmenprogramms, insbesondere begleitender wissenschaftlicher Veranstaltungen. Zu diesem Zweck arbeitet die Gesellschaft mit regionalen Institutionen, Organisationen und Einrichtungen zusammen."
Johannsens Restaurantbetriebe GmbH,"Gegenstand des Unternehmens ist die Unterhaltung von Restaurationsbetrieben aller Art und die Durchführung damit verbundener Geschäfte. Die Gesellschaft darf auch andere Gesellschaften oder Unternehmen gleicher oder ähnlicher Art übernehmen, vertreten und sich an solchen Unternehmen beteiligen. Sie darf Zweigniederlassungen errichten."
"H. & H. Schmidt Verwaltungs GmbH, Heide","Der Erwerb und die Verwaltung von Beteiligungen sowie die Übernahme der persönlichen Haftung und der Geschäftsführung bei Handelsgesellschaften, insbesondere die Beteiligung als persönlich haftende, geschäftsführende Gesellschafterin der noch zu gründenden H. & H. Schmidt GmbH & Co. KG."
MFB Planung + Beratung UG (haftungsbeschränkt),Unternehmensberatung mit Ausnahme von Rechts- und Steuerberatung sowie die Entwicklung von Nutzungs- und Bewirtschaftskonzepten für Wohn- und Gewerbeimmobilien.
UGS Unternehmens-Beratungsgesellschaft für Gesundheitswesen und Sozialwirtschaft mbH,"die Unternehmensberatung sozialer Institutionen und Organisationen, insbesondere Vorbereitung und Durchführung von Maßnahmen zum Qualitäts- und Kostenmanagement und zur Qualitätssicherung in Krankenhäusern, Heimen, Werkstätten für Behinderte, Pflegeeinrichtungen sowie sonstigen Institutionen und sozialorientierten Verbänden; Zur Förderung des Gesellschaftszwecks kann die Gesellschaft alle Geschäfte betreiben, die hierfür erforderlich oder zweckmäßig erscheinen, sowie andere Unternehmen gründen, erwerben, sich an solchen beteiligen und Zweigniederlassungen errichten. Die Gesellschaft steht Partnern offen, soweit sie in demselben Kundensegment vergleichbare Dienstleistungen erbringen und sie im wesentlichen im Eigentum von Verbänden oder Institutionen der ""Freien Wohlfahrtspflege"" stehen und ihre Dienstleistungen in die Gesellschaft einbringen."
Hemo Hotel Betiebsgesellschaft mbH,"Der Betrieb eines Hotels, insbesondere des Hotels ""Rosenau"" in Bad Nauheim, als Betriebsgesellschaft und/oder als Pächterin und die Abwicklung des täglichen Hotelsowie Restaurantbetriebes, Bankett- und Tagungsgeschäfte und alle damit zusammenhängenden und den Gesellschaftszweck fördernden oder nützlich erscheinenden Geschäfte und Maßnahmen."
Heise & Dahmen Fassondreherei GmbH,ist die Herstellung von Fassondrehteilen und deren Vertrieb.
Köfler Quality Solutions GmbH,"Der Auf- und Ausbau von Qualitätsmanagementsystemen, die Prozessoptimierung und Digitalisierung von Unternehmen und die operative Systembetreuung inklusiver Projektmanagements."
BGW - Bäder- und Gasheizungsbau/Wartungsservice - GmbH,Der Bau und die Wartung von Bädern und Gasheizungen.
Marggraff Invest GmbH,"Der Erwerb, die Veräußerung und das Verwalten eigener Vermögenswerte."
Poligrat Deutschland GmbH,"Produktion, Vertrieb und Durchführung von Dienstleistungen und Lohnarbeit sowie Forschungs- und Entwicklungsarbeiten auf dem chemischen, elektrochemischen und elektrotechnischen Gebiet und im Bereich des Maschinen- und Anlagenbaues, sowie ferner Vermietung von Anlagen und Geräten auf den genannten Gebieten."
GPM-Textile Consulting GmbH,"Textilstyle-Beratung, Handelsagentur sowie Groß- und Einzelhandel, Import mit Waren aller Art insbesondere jedoch mit Textilien."
Schlei-Energie Verwaltungsgesellschaft mbH,"Übernahme, der Erwerb und die Verwaltung von Beteiligungen sowie die Übernahme der persönlichen Haftung und der Geschäftsführung der Energiepark Schlei GmbH & Co. KG, die die Planung, die Errichtung und den Betrieb einer Biogasanlage, den Anbau und die Verarbeitung von Biomassen, die Produktion und Aufbereitung von Wärme, Energie und Wertstoffen sowie den Handel mit den Produkten dieser Biogasanlage zum Gegenstand hat"
Jeannie Vier Holding GmbH,"Erwerb, Halten, Verwalten und Verwerten von Beteiligungen und Vermögensanlagen aller Art sowie Erbringen von Dienstleistungen im Zusammenhang damit, soweit hierfür keine behördliche Genehmigung erforderlich ist."
Hanse Radio Verwaltungsgesellschaft mit beschränkter Haftung,Beschaffung von Lizenzen für den Betrieb von Radiosendern.
ElbeVet GmbH,der Handel mit Futterergänzungsmitteln und Futterzusatzstoffen in flüssiger und in Pulverform.
Serafini Verwaltungs-GmbH,Die Verwaltung und die Übernahme der persönlichen Haftung der Paul Serafini GmbH & Co. Kommanditgesellschaft mit Sitz in Iserlohn-Letmathe.
GHS - System GmbH,"An- und Verkauf, Einzelhandel, Im- und Export von Hard- und Software, Informationstechnologie, Telekommunikationsartikeln und Waren aller Art in der lT-Branche, soweit diese nicht genehmigungspflichtig sind, sowie entsprechende diesbezügliche Dienstleistungen."
Studio 1711 UG (haftungsbeschränkt),"Gegenstand des Unternehmens ist Design, Hausmeisterservice, Handel mit Baustoffen. Die Gesellschaft kann alle Geschäfte betreiben, die dem Gesellschaftszweck unmittelbar oder mittelbar zu dienen geeignet sind. Sie kann Zweigniederlassungen errichten und sich an gleichartigen oder ähnlichen Unternehmen beteiligen."
Gesundheitsbetriebe Isarwinkel GmbH,"Betrieb von Gesundheitseinrichtungen wie Rehabilitationskliniken, Kliniken, Pflegeeinrichtungen und Arzt- und Therapiepraxen"
MANG IT ENGINEERING GMBH,"IT Beratung, Software- und Systementwicklung"
Zupin-Moto-Sport GmbH,"Reparatur und Vertrieb von Fahrrädern und Motorrädern, insbesondere deren Herrichtung für sportliche Zwecke, Groß- und Einzelhandel mit den genannten Fahrzeugen und Zubehör nebst Bekleidung und Ersatzteilen, Förderung und Werbung sportlicher Veranstaltungen mit Zweiradfahrzeugen sowie Anpachtung der Firma Zweirad-Zupin- Inh. Josef Zupin in 83301 Traunreut."
HDT Sauter Römerlager 4 Verwaltungs UG (haftungsbeschränkt),"Erwerb und die Verwaltung von Beteiligungen sowie die Übernahme der persönlichen Haftung und der Geschäftsführung bei Handelsgesellschaften, insbesondere die Übernahme der persönlichen Haftung und Geschäftsführung bei der noch zu gründenden HDT Sauter Römerlager 4 UG (haftungsbeschränkt) & Co. KG."
IMPEXSERWAN GmbH,"Im- und Export, Handel mit Kraftfahrzeugen und Kraftfahrzeugzubehör sowie Baumaschinen und Ersatzteilen."
Adventus Versicherungsmakler GmbH,"ist die Vermittlung von Versicherungen und Bausparverträgen als Versicherungsmakler gemäß § 93 ff HGB für Gewerbekunden und Privatkunden, sowie die in diesem Zusammenhang stehenden betriebswirtschaftlichen und versicherungstechnischen Beratungen."
Fischer Bauelemente Vertriebs GmbH,Der Vertrieb und der Einbau von modernen Bauelementen
Veni Vegi Vegan GmbH,der Gastronomiebetrieb mit hauptsächlich vegetarisch veganen Produkten nebst Lieferservice und alle damit zusammenhängenden Tätigkeiten.
ACCU Tech GmbH,"Qualitätsmanagement, Consulting, Projektmanagement, Personalservice, Konstruktion, Entwicklung und Einkauf im Bereich Industrie sowie Import- und Export von Pkw-Ersatzteilen und elektronischen Geräten und Einzelteilen."
M+K IT Services GmbH,Der Vertrieb und der Service von EDV- Produkten.
MELSEV Limited Niederlassung Deutschland,"Die einem Hausmeisterservice zuzuordnenden Dienste, ferner die dem Holz- und Bautenschutz zuzuordnenden Tätigkeiten."
Moderator Berater GmbH,"Unternehmensberatung und Marktforschung; Software- und Systementwicklung; Handel mit Kraftfahrzeugen und Zubehör, mit Software sowie mit Keramik und Porzellan."
Wolfgang Fabian Beteiligungs-GmbH,Halten und Verwalten von Beteiligungen
IMTE Institut für Management-Training und -Entwicklung GmbH,"Betriebswirtschaftliche Forschung, Schulung, die Weiterbildung von Führungskräften und die schulungsbezogene Beratung von Industrie- , Handel- und Dienstleistungsunternehmen."
E-Vision GmbH,"Im- und Export von Waren aller Art, insbesondere Automobile, Gebrauchs- und Verbrauchsgütern sowie Beratung im Bereich des E-Commerce (Integration in den Absatzmarkt, sozial, lokal und mobil)"
ThyssenKrupp Energievertriebs GmbH,"Der nationale und internationale Großhandel und Einzelhandel mit festen und flüssigen Kraft- und Brennstoffen und alle damit in Zusammenhang stehenden Geschäfte und Dienstleistungen, wie Lagerung und Umschlag."
"Odysseus Art, Design & Merchandising UG (haftungsbeschränkt)",Herstellung und der Vertrieb künstlerischer Produkte aller Art
Ludwig Ehrl GmbH Heizungsbau Sanitär Kundendienst,Betrieb eines Heizungsbau- und Sanitärunternehmens
Vorsprung365 GmbH,"Erbringung von Unternehmensberatungsleistungen und alle damit verbundenen Dienstleistungen, sowie der Erwerb, das Halten, die Verwaltung, die Vermietung und die Veräußerung von Patenten, immateriellen Wirtschaftsgütern, Immobilien und grundstücksgleichen Rechten, sowie von anderen Vermögensgegenstanden, wie z.B. Maschinen, Fahrzeugen, Flugzeugen und Mobilien, für eigene Rechnung. Ferner Gründung, der Erwerb, die Verwaltung und die Veräußerung von Unternehmen oder Unternehmungsbeteiligungen im In- und Ausland, sowie die Betreuung von verbundenen Unternehmen, die Erbringung zentraler Dienstleistungen an verbundene Unternehmen, und die Verwaltung eigenen Vermögens."
PUNCTOnews UG (haftungsbeschränkt),"Entwicklung von Software, die Technologieberatung und fachbezogene Schulung sowie alle damit verbundenen Dienstleistungen und Tätigkeiten im IT-Bereich und der Handel mit Softund Hardware."
Conaction Container Service GmbH,"Die Erbringung sämtlicher Serviceleistungen im Verkehr mit Containern wie Handling, Lagerung, Wartung, Reinigung, Inspektion. Gegenstand ist ferner die Überprüfung und Wartung von Kühlaggregaten."
ORT Verwaltungs GmbH,"Das Halten von Beteiligungen an anderen Gesellschaften sowie deren Geschäftsführung und Vertretung, insbesondere die Übernahme der Geschäftsführung und der persönlichen Haftung in der ORT Offset Repro-Team Medienverbund GmbH & Co. KG sowie der ORT Offset Repro-Team GmbH & Co. KG."
Stadtbus Gütersloh GmbH,Durchführung des öffentlichen Personennahverkehrs im Stadtgebiet von Gütersloh.
ATMH Werkzeugmaschinen GmbH,"der Vertrieb (Import-Export) von Objektschutz- Anlagen insbesondere Zaunanlagen, technischen Drähten und sonstigen mit dem Objektschutz zusammenhängenden Produkten für den Handel, Handwerk, Industrie und Bau."
AHM Service GmbH,"die Erbringung von Marketingleistungen, die Vermittlung von Printlösungen sowie der Handel mit Computern, Software, Druckern und Zubehör."
Maharishi Veda Park GmbH,"Die Übernahme der Stiftungsträgerschaft (Verwaltung) der Treuhandstiftung MAHARISHI VEDA STIFTUNG, Stiftung für Vedische Kultur und aller damit zusammenhängender Tätigkeiten und Aufgaben. Ferner ist Gegenstand der Gesellschaft die Errichtung von Bauwerken und die Organisation von Finanzierungen für die Errichtung von Bauwerken, die Hausverwaltung, die Vermögensverwaltung, die Vermietung und die Vermittlung von Wohnungen und Geschäftsräumen - alles soweit genehmigungsfrei - und der Betrieb von Hotels und gastronomischen Einrichtung sowie Tagungsstätten, insbesondere das Anbieten von Schulungsveranstaltungen, Seminaren und Fortbildungsveranstaltungen sowie der Vertrieb von Schulungsunterlagen und Wellnessprodukten"
Kreta Meer UG (haftungsbeschränkt),"Betrieb eines Restaurants mit griechischen, insbesondere mit kretischen Spezialitäten."
IVF Import Vieh und Fleisch Handels- und Beteiligungs-GmbH,"Verwaltung von Beteiligungen, die Übernahme der persönlichen Haftung und der Geschäftsführung bei Handelsgesellschaften, ferner der Import und Export von Vieh und Fleisch und ähnliche Geschäfte."
Köppen Bedachungs-GmbH,Die Ausführung von Bedachungen.
APS UG (haftungsbeschränkt),"Print- und Medienservice, Standardisierung im Druck, Messen, Prüfen, Druckabnahme von Druckerzeugnissen, Standardisierung von Druckmaschinen und Ausgabemedien."
Waadt & Hellmann GmbH,"die Planung, Projektierung und Abwicklung von Industrie- und Gewerbebauten sowie sonstigen Baumaßnahmen durch Vergabe an Subunternehmer und deren Koordination ohne eigene Bautätigkeit. Der Gegenstand umfaßt auch die Durchführung und Übernahme von Aufgaben der Projektsteuerung, die Beratung anderer Unternehmen zur Projektentwicklung und Bauabwicklung."
Timo Luis Group GmbH,"Unternehmensberatung, insbesondere auf dem Gebiet des Onlinemarketing sowie die Produktion und der Vertrieb von Merchandise- und Werbeartikel"
Tischlerei J. Broers GmbH,"Gegenstand des Unternehmens ist die Herstellung, Bearbeitung, Montage sowie der Vertrieb von Holzarbeiten aller Art."
DWG Bauträger- und Immobiliengesellschaft mbH,"Gegenstand des Unternehmens ist der Anund Verkauf von Immobilien und die Vermittlung von Immobilien; ferner die Vermittlung von Finanzierungen, Bausparverträgen und Versicherungen aller Art und die Planung oder Auftragsübernahme zur Erstellung von Neubauten aller Art über Subunternehmer. Die Gesellschaft darf andere Unternehmen gleicher oder ähnlicher Art übernehmen, vertreten oder sich an solchen Unternehmen beteiligen und Zweigniederlassungen errichten."
Taxi Total Bremen UG (haftungsbeschränkt),"Die Personenbeförderung mit staatlich konzessionierten Taxen sowie die Durchführung genehmigungsfreier Dienstleistungen, insbesondere Botenfahrten."
